127.0.0.1, 2015-08-05 16:36:41, GET, /admin/static/_2.11.2/js/web2py.js, HTTP/1.1, 200, 0.000538
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/static/_2.11.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000513
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/static/_2.11.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000513
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/static/_2.11.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000561
127.0.0.1, 2015-08-05 16:36:41, GET, /admin/static/_2.11.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.000507
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/default/editor_sessions, HTTP/1.1, 303, 0.014830
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/default/files_menu, HTTP/1.1, 303, 0.044146
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.077746
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/default/index, HTTP/1.1, 200, 0.092961
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/default/editor_sessions, HTTP/1.1, 303, 0.097245
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/static/_2.11.2/js/jquery.js, HTTP/1.1, 200, 0.001524
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/default/index, HTTP/1.1, 200, 0.119153
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/default/files_menu, HTTP/1.1, 303, 0.126210
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/static/_2.11.2/js/calendar.js, HTTP/1.1, 200, 0.000939
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/static/_2.11.2/js/web2py.js, HTTP/1.1, 200, 0.001700
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.104861
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/static/_2.11.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000878
127.0.0.1, 2015-08-05 16:36:45, GET, /welcome/appadmin/hooks, HTTP/1.1, 303, 0.189483
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/static/_2.11.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001185
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/static/_2.11.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002015
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/default/index.load, HTTP/1.1, 404, 0.099494
